date,MHI,btc_price,dailycases,sentiment_index
2020-09-20,26.75,10921.5,253714,11.37
2020-09-19,31.78,11081.8,293501,4.24
2020-09-18,31.01,10933,326229,4.38
2020-09-17,31.66,10941.3,315044,4.31
2020-09-16,31.09,10949.5,303905,3.4
2020-09-15,31.23,10785.3,369139,2.07
2020-09-14,31.98,10675.3,178456,2.29
2020-09-13,31.85,10326,243336,-8.69
2020-09-12,31.49,10441.9,287870,-0.77
2020-09-11,31.95,10390.2,321450,0.65
2020-09-10,31.94,10339.7,299074,0.77
2020-09-09,32.9,10224.6,293943,0.62
2020-09-08,32.08,10126.6,237555,1.64
2020-09-07,30.25,10376.9,213474,1.45
2020-09-06,31.51,10296.4,239025,6.38
2020-09-05,32.78,10092.2,271041,6.52
2020-09-04,33.43,10472.5,306235,4.9
2020-09-03,33.05,10168.8,274268,5.12
2020-09-02,32.81,11413.3,282233,5.61
2020-09-01,33.48,11914.9,266879,3.99
2020-08-31,32.06,11644.2,262203,3.78
2020-08-30,30.93,11702,221564,1.78
2020-08-29,32.04,11468.1,266683,0.53
2020-08-28,31.45,11527.4,283950,1.83
2020-08-27,32.37,11327.4,281693,3.05
2020-08-26,34.14,11462.3,280536,1.32
2020-08-25,34.44,11324.8,244408,2.09
2020-08-24,34.27,11753.5,224365,0.95
2020-08-23,34.87,11641.6,217826,2.81
2020-08-22,34.47,11661.3,255011,-2.01
2020-08-21,33.33,11529.2,261849,-4.61
2020-08-20,33.6,11856.9,273210,-5.29
2020-08-19,34.74,11750.2,275619,-11.04
2020-08-18,34.49,11947.6,256124,-12.19
2020-08-17,35.5,12282.6,206562,-12.75
2020-08-16,35.55,11899,216078,-17.18
2020-08-15,34.96,11845.3,253598,-12.28
2020-08-14,35.98,11750.8,302065,-9.28
2020-08-13,35.41,11770.9,278603,-10.62
2020-08-12,35.3,11557.2,283055,-4.55
2020-08-11,34.98,11390.4,261682,-4.1
2020-08-10,37.05,11889.2,223981,-4.55
2020-08-09,36.24,11681.2,228050,-3.65
2020-08-08,36.32,11764.3,260267,-8.73
2020-08-07,36.78,11592,284277,-11.67
2020-08-06,36.69,11757.1,283198,-12.49
2020-08-05,35.49,11735.1,277314,-14.96
2020-08-04,36.15,11184.7,254370,-16.88
2020-08-03,40.42,11224.4,207440,-16.53
2020-08-02,35.98,11066.8,231754,-8.58
2020-08-01,37.84,11803.1,252138,-11.45
2020-07-31,38.55,11333.4,290806,-16.07
2020-07-30,38.67,11096.2,280769,-14.91
2020-07-29,39.02,11105.9,336407,-12.44
2020-07-28,40.12,10908.5,201652,-11.69
2020-07-27,39.05,11022.8,234502,-12.53
2020-07-26,39.59,9932.5,207249,-19.29
2020-07-25,37.45,9704.1,255302,-16.21
2020-07-24,39.49,9546.4,282749,-9.45
2020-07-23,37.3,9599.6,282843,-6.86
2020-07-22,38.28,9513.7,279692,-7.45
2020-07-21,37.49,9387.3,240977,-7.02
2020-07-20,40.21,9162.4,199122,-8.29
2020-07-19,38.51,9208,214923,-9.39
2020-07-18,38.55,9170.2,238073,-9.41
2020-07-17,37.78,9155.8,250876,-9.31
2020-07-16,38.68,9135.3,248950,-11.23
2020-07-15,38.75,9198.7,231463,-9.13
2020-07-14,38.07,9253.4,219180,-6.87
2020-07-13,41.92,9243.6,191743,-3.01
2020-07-12,40.6,9300.8,194397,5
2020-07-11,37.83,9233.3,219643,9.1
2020-07-10,37.56,9285.1,231515,9.4
2020-07-09,38.5,9235.7,223716,11.98
2020-07-08,39.28,9429.9,213404,10.45
2020-07-07,39.19,9256,208447,9.86
2020-07-06,41.99,9339,168764,9.38
2020-07-05,40.89,9081,183011,9.07
2020-07-04,38.9,9134.4,195530,12.02
2020-07-03,38.44,9067.1,205229,11.68
2020-07-02,38.61,9085.1,178761,8.74
2020-07-01,38.38,9229.9,216678,10.55
2020-06-30,39.35,9135.4,176125,11.52
2020-06-29,41.29,9185.4,152802,11.91
