areaCode,areaName,areaType,date,newCasesBySpecimenDate
E06000023,"Bristol, City of",ltla,27/10/2020,321
E06000023,"Bristol, City of",ltla,26/10/2020,301
E06000023,"Bristol, City of",ltla,25/10/2020,220
E06000023,"Bristol, City of",ltla,24/10/2020,240
E06000023,"Bristol, City of",ltla,23/10/2020,302
E06000023,"Bristol, City of",ltla,22/10/2020,349
E06000023,"Bristol, City of",ltla,21/10/2020,348
E06000023,"Bristol, City of",ltla,20/10/2020,265
E06000023,"Bristol, City of",ltla,19/10/2020,250
E06000023,"Bristol, City of",ltla,18/10/2020,160
E06000023,"Bristol, City of",ltla,17/10/2020,178
E06000023,"Bristol, City of",ltla,16/10/2020,192
E06000023,"Bristol, City of",ltla,15/10/2020,188
E06000023,"Bristol, City of",ltla,14/10/2020,203
E06000023,"Bristol, City of",ltla,13/10/2020,293
E06000023,"Bristol, City of",ltla,12/10/2020,180
E06000023,"Bristol, City of",ltla,11/10/2020,134
E06000023,"Bristol, City of",ltla,10/10/2020,168
E06000023,"Bristol, City of",ltla,09/10/2020,238
E06000023,"Bristol, City of",ltla,08/10/2020,193
E06000023,"Bristol, City of",ltla,07/10/2020,202
E06000023,"Bristol, City of",ltla,06/10/2020,132
E06000023,"Bristol, City of",ltla,05/10/2020,100
E06000023,"Bristol, City of",ltla,04/10/2020,73
E06000023,"Bristol, City of",ltla,03/10/2020,88
E06000023,"Bristol, City of",ltla,02/10/2020,64
E06000023,"Bristol, City of",ltla,01/10/2020,52
E06000023,"Bristol, City of",ltla,30/09/2020,34
E06000023,"Bristol, City of",ltla,29/09/2020,22
E06000023,"Bristol, City of",ltla,28/09/2020,40
E06000023,"Bristol, City of",ltla,27/09/2020,14
E06000023,"Bristol, City of",ltla,26/09/2020,20
E06000023,"Bristol, City of",ltla,25/09/2020,18
E06000023,"Bristol, City of",ltla,24/09/2020,17
E06000023,"Bristol, City of",ltla,23/09/2020,21
E06000023,"Bristol, City of",ltla,22/09/2020,12
E06000023,"Bristol, City of",ltla,21/09/2020,12
E06000023,"Bristol, City of",ltla,20/09/2020,20
E06000023,"Bristol, City of",ltla,19/09/2020,11
E06000023,"Bristol, City of",ltla,18/09/2020,12
E06000023,"Bristol, City of",ltla,17/09/2020,12
E06000023,"Bristol, City of",ltla,16/09/2020,7
E06000023,"Bristol, City of",ltla,15/09/2020,8
E06000023,"Bristol, City of",ltla,14/09/2020,9
E06000023,"Bristol, City of",ltla,13/09/2020,4
E06000023,"Bristol, City of",ltla,12/09/2020,1
E06000023,"Bristol, City of",ltla,11/09/2020,5
E06000023,"Bristol, City of",ltla,10/09/2020,9
E06000023,"Bristol, City of",ltla,09/09/2020,9
E06000023,"Bristol, City of",ltla,08/09/2020,8
E06000023,"Bristol, City of",ltla,07/09/2020,17
E06000023,"Bristol, City of",ltla,06/09/2020,11
E06000023,"Bristol, City of",ltla,05/09/2020,5
E06000023,"Bristol, City of",ltla,04/09/2020,17
E06000023,"Bristol, City of",ltla,03/09/2020,13
E06000023,"Bristol, City of",ltla,02/09/2020,18
E06000023,"Bristol, City of",ltla,01/09/2020,13
E06000023,"Bristol, City of",ltla,31/08/2020,10
E06000023,"Bristol, City of",ltla,30/08/2020,6
E06000023,"Bristol, City of",ltla,29/08/2020,6
E06000023,"Bristol, City of",ltla,28/08/2020,10
E06000023,"Bristol, City of",ltla,27/08/2020,2
E06000023,"Bristol, City of",ltla,26/08/2020,6
E06000023,"Bristol, City of",ltla,25/08/2020,10
E06000023,"Bristol, City of",ltla,24/08/2020,7
E06000023,"Bristol, City of",ltla,23/08/2020,5
E06000023,"Bristol, City of",ltla,22/08/2020,8
E06000023,"Bristol, City of",ltla,21/08/2020,7
E06000023,"Bristol, City of",ltla,20/08/2020,11
E06000023,"Bristol, City of",ltla,19/08/2020,6
E06000023,"Bristol, City of",ltla,18/08/2020,8
E06000023,"Bristol, City of",ltla,17/08/2020,11
E06000023,"Bristol, City of",ltla,16/08/2020,1
E06000023,"Bristol, City of",ltla,15/08/2020,4
E06000023,"Bristol, City of",ltla,14/08/2020,9
E06000023,"Bristol, City of",ltla,13/08/2020,6
E06000023,"Bristol, City of",ltla,12/08/2020,7
E06000023,"Bristol, City of",ltla,11/08/2020,9
E06000023,"Bristol, City of",ltla,10/08/2020,4
E06000023,"Bristol, City of",ltla,09/08/2020,1
E06000023,"Bristol, City of",ltla,08/08/2020,4
E06000023,"Bristol, City of",ltla,07/08/2020,6
E06000023,"Bristol, City of",ltla,06/08/2020,3
E06000023,"Bristol, City of",ltla,05/08/2020,3
E06000023,"Bristol, City of",ltla,04/08/2020,0
E06000023,"Bristol, City of",ltla,03/08/2020,3
E06000023,"Bristol, City of",ltla,02/08/2020,0
E06000023,"Bristol, City of",ltla,01/08/2020,1
E06000023,"Bristol, City of",ltla,31/07/2020,0
E06000023,"Bristol, City of",ltla,30/07/2020,2
E06000023,"Bristol, City of",ltla,29/07/2020,5
E06000023,"Bristol, City of",ltla,28/07/2020,5
E06000023,"Bristol, City of",ltla,27/07/2020,3
E06000023,"Bristol, City of",ltla,26/07/2020,4
E06000023,"Bristol, City of",ltla,25/07/2020,2
E06000023,"Bristol, City of",ltla,24/07/2020,5
E06000023,"Bristol, City of",ltla,23/07/2020,3
E06000023,"Bristol, City of",ltla,22/07/2020,5
E06000023,"Bristol, City of",ltla,21/07/2020,3
E06000023,"Bristol, City of",ltla,20/07/2020,3
E06000023,"Bristol, City of",ltla,19/07/2020,1
E06000023,"Bristol, City of",ltla,18/07/2020,1
E06000023,"Bristol, City of",ltla,17/07/2020,3
E06000023,"Bristol, City of",ltla,16/07/2020,2
E06000023,"Bristol, City of",ltla,15/07/2020,2
E06000023,"Bristol, City of",ltla,14/07/2020,1
E06000023,"Bristol, City of",ltla,13/07/2020,2
E06000023,"Bristol, City of",ltla,12/07/2020,1
E06000023,"Bristol, City of",ltla,11/07/2020,0
E06000023,"Bristol, City of",ltla,10/07/2020,1
E06000023,"Bristol, City of",ltla,09/07/2020,1
E06000023,"Bristol, City of",ltla,08/07/2020,2
E06000023,"Bristol, City of",ltla,07/07/2020,1
E06000023,"Bristol, City of",ltla,06/07/2020,3
E06000023,"Bristol, City of",ltla,05/07/2020,2
E06000023,"Bristol, City of",ltla,04/07/2020,1
E06000023,"Bristol, City of",ltla,03/07/2020,0
E06000023,"Bristol, City of",ltla,02/07/2020,2
E06000023,"Bristol, City of",ltla,01/07/2020,3
E06000023,"Bristol, City of",ltla,30/06/2020,0
E06000023,"Bristol, City of",ltla,29/06/2020,3
E06000023,"Bristol, City of",ltla,28/06/2020,0
E06000023,"Bristol, City of",ltla,27/06/2020,1
E06000023,"Bristol, City of",ltla,26/06/2020,2
E06000023,"Bristol, City of",ltla,25/06/2020,0
E06000023,"Bristol, City of",ltla,24/06/2020,4
E06000023,"Bristol, City of",ltla,23/06/2020,3
E06000023,"Bristol, City of",ltla,22/06/2020,0
E06000023,"Bristol, City of",ltla,21/06/2020,0
E06000023,"Bristol, City of",ltla,20/06/2020,1
E06000023,"Bristol, City of",ltla,19/06/2020,0
E06000023,"Bristol, City of",ltla,18/06/2020,3
E06000023,"Bristol, City of",ltla,17/06/2020,3
E06000023,"Bristol, City of",ltla,16/06/2020,2
E06000023,"Bristol, City of",ltla,15/06/2020,0
E06000023,"Bristol, City of",ltla,14/06/2020,2
E06000023,"Bristol, City of",ltla,13/06/2020,4
E06000023,"Bristol, City of",ltla,12/06/2020,2
E06000023,"Bristol, City of",ltla,11/06/2020,5
E06000023,"Bristol, City of",ltla,10/06/2020,3
E06000023,"Bristol, City of",ltla,09/06/2020,4
E06000023,"Bristol, City of",ltla,08/06/2020,3
E06000023,"Bristol, City of",ltla,07/06/2020,4
E06000023,"Bristol, City of",ltla,06/06/2020,9
E06000023,"Bristol, City of",ltla,05/06/2020,8
E06000023,"Bristol, City of",ltla,04/06/2020,10
E06000023,"Bristol, City of",ltla,03/06/2020,4
E06000023,"Bristol, City of",ltla,02/06/2020,12
E06000023,"Bristol, City of",ltla,01/06/2020,5
E06000023,"Bristol, City of",ltla,31/05/2020,12
E06000023,"Bristol, City of",ltla,30/05/2020,4
E06000023,"Bristol, City of",ltla,29/05/2020,11
E06000023,"Bristol, City of",ltla,28/05/2020,26
E06000023,"Bristol, City of",ltla,27/05/2020,32
E06000023,"Bristol, City of",ltla,26/05/2020,5
E06000023,"Bristol, City of",ltla,25/05/2020,3
E06000023,"Bristol, City of",ltla,24/05/2020,10
E06000023,"Bristol, City of",ltla,23/05/2020,1
E06000023,"Bristol, City of",ltla,22/05/2020,9
E06000023,"Bristol, City of",ltla,21/05/2020,9
E06000023,"Bristol, City of",ltla,20/05/2020,13
E06000023,"Bristol, City of",ltla,19/05/2020,19
E06000023,"Bristol, City of",ltla,18/05/2020,9
E06000023,"Bristol, City of",ltla,17/05/2020,6
E06000023,"Bristol, City of",ltla,16/05/2020,7
E06000023,"Bristol, City of",ltla,15/05/2020,2
E06000023,"Bristol, City of",ltla,14/05/2020,11
E06000023,"Bristol, City of",ltla,13/05/2020,4
E06000023,"Bristol, City of",ltla,12/05/2020,8
E06000023,"Bristol, City of",ltla,11/05/2020,17
E06000023,"Bristol, City of",ltla,10/05/2020,26
E06000023,"Bristol, City of",ltla,09/05/2020,10
E06000023,"Bristol, City of",ltla,08/05/2020,18
