Date,MCI
2021-08-26,67.17
2021-08-27,66.5
2021-08-28,65.44
2021-08-29,64.62
2021-08-30,63.67
2021-08-31,65.24
2021-09-01,65.88
2021-09-02,66.74
2021-09-03,65.38
2021-09-04,63.8
2021-09-05,65.3
2021-09-06,64.88
2021-09-07,61.93
2021-09-08,62.96
2021-09-09,64.2
2021-09-10,63.76
2021-09-11,64.72
2021-09-12,62.26
2021-09-13,59.87
2021-09-14,62.84
2021-09-15,64.66
2021-09-16,64.53
2021-09-17,63.96
2021-09-18,64.69
2021-09-19,62.04
2021-09-20,60.44
2021-09-21,63.19
2021-09-22,63.84
2021-09-23,64.87
2021-09-24,64.15
2021-09-25,63.13
2021-09-26,62.82
2021-09-27,59.72
2021-09-28,61.68
2021-09-29,63.18
2021-09-30,63.22
2021-10-01,61.62
2021-10-02,63.2
2021-10-03,63.34
2021-10-04,58.91
2021-10-05,61.32
2021-10-06,59.69
2021-10-07,62.28
2021-10-08,63.35
2021-10-09,61.48
2021-10-10,57.65
2021-10-11,58.35
2021-10-12,60.17
2021-10-13,61.89
2021-10-14,62.83
2021-10-15,61.98
2021-10-16,61.32
2021-10-17,59.78
2021-10-18,57.59
2021-10-19,62.08
2021-10-20,61.81
2021-10-21,61.39
2021-10-22,62.14
2021-10-23,61.98
2021-10-24,59.54
2021-10-25,60.07
2021-10-26,59.76
2021-10-27,62.03
2021-10-28,59.63
2021-10-29,61.13
2021-10-30,60.85
2021-10-31,60.69
2021-11-01,59.1
2021-11-02,60.84
2021-11-03,60.1
2021-11-04,61.74
2021-11-05,62.33
2021-11-06,62.09
2021-11-07,61.18
2021-11-08,60.56
2021-11-09,60.03
2021-11-10,60.97
2021-11-11,61.22
2021-11-12,59.66
2021-11-13,59.55
2021-11-14,57.01
2021-11-15,57.56
2021-11-16,57.64
2021-11-17,60.35
2021-11-18,60.49
